Order nr,Start px,End px,"Start wavelength, nm","End wavelength, nm",Middle px,"Middle wavelength, nm"
35,18,1023,745.132353,770.7504401,510,757.8503523
36,14,852,724.3257267,745.1923834,510,736.7913235
37,11,824,704.6698352,724.3822776,510,716.8720915
38,13,799,686.1700374,704.737055,510,698.0023559
39,21,779,668.7606179,686.2121962,510,680.1011366
40,213,768,656.4144335,668.8118048,510,663.0955972
41,60,954,637.0038065,656.4668481,510,646.9200439
42,70,772,622.0526998,637.0426213,510,631.5150678
43,101,766,608.2428175,622.102996,510,616.8268093
44,102,782,594.4381995,608.282367,510,602.8063232
45,147,767,582.1380472,594.4702181,510,589.4090294
46,109,800,568.7287339,582.1759827,510,576.594236
47,114,745,556.7235366,568.7584714,510,564.3247234
48,141,737,545.635963,556.7609306,510,552.5663813
49,161,752,534.8702495,545.6665488,510,541.2878899
50,166,760,524.2620214,534.8924289,510,530.4604399
51,183,753,514.2834765,524.2817845,510,520.0574853
52,192,760,504.5486747,514.3161519,510,510.0545254
53,213,758,495.3864518,504.576967,510,500.4289114
54,225,769,486.4120189,495.4102415,510,491.1596739
55,185,771,476.9060242,486.4327066,510,482.2273706
56,201,719,468.6469776,476.926173,510,473.6139489
57,212,726,460.5978243,468.6651233,510,465.3026246
58,197,728,452.4193192,460.6127596,510,457.2777715
59,204,704,444.8563337,452.4443575,510,449.5248238
60,219,702,437.6662262,444.8716695,510,442.0301871
61,221,710,430.5183995,437.691911,510,434.781159
62,235,703,423.776459,430.5300127,510,427.765857
63,223,710,416.8743703,423.7915912,510,420.9731532
64,224,690,410.3719778,416.8910088,510,414.3926155
65,232,684,404.1671736,410.3928472,510,408.0144538
66,240,685,398.1502531,404.1852621,510,401.8294716
67,246,686,392.2857738,398.162883,510,395.8290214
68,245,686,386.5004509,392.3045402,510,390.0049646
69,241,678,380.8433477,386.5133863,510,384.3496341
70,247,668,375.4771896,380.8622765,510,378.8558012
71,259,668,370.3385856,375.4948889,510,373.5166445
72,259,674,365.1917564,370.3502613,510,368.3257213
73,261,668,360.2106593,365.2010437,510,363.2769421
74,261,665,355.3396572,360.2267885,510,358.3645463
75,272,659,350.7311783,355.3496868,510,353.5830809
76,274,665,346.1367647,350.7406651,510,348.9273794
77,279,662,341.6968541,346.1478104,510,344.3925439
78,281,662,337.3359459,341.7067134,510,339.9739276
79,292,659,333.1883454,337.3443655,510,335.6671189
80,287,666,328.963626,333.201704,510,331.4679267
81,293,656,324.9658923,328.9754377,510,327.3723669
82,309,657,321.1757202,324.970992,510,323.3766496
83,302,669,317.2265766,321.1803352,510,319.4771676
84,302,658,313.4466612,317.2374485,510,315.6704854
85,311,653,309.8512465,313.4497673,510,311.9533291
86,310,659,306.2344168,309.8634326,510,308.3225769
87,323,653,302.8459208,306.2373208,510,304.7752508
88,316,663,299.3293053,302.8546311,510,301.3085078
89,324,652,296.0437549,299.3389228,510,297.9196329
90,333,656,292.8411686,296.048942,510,294.6060316
91,332,662,289.6098276,292.8506909,510,291.3652233
92,328,657,286.4192915,289.6160354,510,288.1948353
93,332,649,283.374918,286.4223116,510,285.0925972
94,332,650,280.3569124,283.3813436,510,282.0563346
95,348,647,277.5542305,280.3670515,510,279.0839652
96,350,660,274.6784494,277.563209,510,276.173493
97,346,658,271.8062046,274.6801428,510,273.3230046
98,350,651,269.0661057,271.8106807,510,270.5306644
99,349,652,266.3358328,269.0707601,510,267.7947112
100,353,648,263.7051883,266.3413037,510,265.113454
101,351,649,261.0730959,263.7097473,510,262.4852689
102,354,644,258.5367515,261.077627,510,259.9085955
103,359,644,256.0671196,258.5396251,510,257.3819342
104,360,646,253.6103193,256.0674594,510,254.9038428
105,364,645,251.2260214,253.6170349,510,252.4729342
106,370,646,248.9036679,251.2295527,510,250.0878736
107,375,650,246.6162809,248.9115296,510,247.7473761
108,369,652,244.2795773,246.6199988,510,245.4502042
109,370,643,242.043528,244.281046,510,243.195166
110,368,642,239.8235709,242.0490681,510,240.9811129
111,373,637,237.700358,239.8253314,510,238.8069375
112,382,640,235.6471627,237.704636,510,236.6715721
113,388,647,233.6063889,235.6528402,510,234.5739868
114,387,650,231.5461833,233.6059109,510,232.5131878
115,387,647,229.5296139,231.5483201,510,230.4882156
116,392,645,227.5865564,229.5338313,510,228.4981443
117,398,648,225.6843732,227.5916517,510,226.5420791
118,392,652,223.7230077,225.6898858,510,224.6191559
119,407,643,221.9531941,223.7232332,510,222.7285393
120,399,657,220.0406335,221.9592415,510,220.8694222
121,399,646,218.2190798,220.0412705,510,219.0410237
122,407,644,216.4862965,218.2201077,510,217.2425888
123,402,650,214.686717,216.4862089,510,215.4733869
124,404,643,212.9668733,214.6873231,510,213.732711
125,407,643,211.2817235,212.966857,510,212.0198767
126,410,644,209.6233099,211.2807283,510,210.3342214
127,418,646,208.0263529,209.628125,510,208.6751033
128,403,652,206.2929602,208.0290339,510,207.0419005
129,430,635,204.8788025,206.2966414,510,205.4340107
130,471,661,203.5825676,204.8841505,510,203.8508498
131,0,701,198.7659124,203.5874596,510,202.2918518
